timestep,reward,ep_len,wall_time
436,-282.632585,109,0.41
444,-70.816033,111,0.42
448,-137.88684,112,0.42
512,-392.160682,128,0.47
788,-390.604115,86,0.72
828,-124.97761,98,0.75
844,-100.307566,83,0.77
900,-388.389924,113,0.83
1016,-86.326021,57,0.93
1088,-191.134086,65,0.99
1156,-133.053572,78,1.04
1296,-200.635906,99,1.14
1400,-447.33758,96,1.27
1524,-228.616516,92,1.37
1620,-163.26546,133,1.45
1648,-270.920232,88,1.47
1672,-74.226804,68,1.49
1908,-86.68413,72,1.71
1944,-170.037838,105,1.74
2172,-92.618441,125,1.94
2228,-204.731277,145,2.00
2276,-227.899616,92,2.04
2400,-188.379991,114,2.13
2520,-214.876895,61,2.22
2532,-359.12657,90,2.23
2560,-208.142707,83,2.28
2824,-163.840571,76,2.49
2832,-156.954532,108,2.50
2924,-397.089776,98,2.57
3104,-127.435439,136,2.75
3112,-93.188223,72,2.76
3252,-166.428405,105,2.86
3316,-89.654278,98,2.91
3412,-285.319468,75,3.02
3524,-90.238739,68,3.14
3568,-217.474588,116,3.17
3668,-71.922073,64,3.26
3748,-92.336625,108,3.32
4020,-353.219407,124,3.59
4044,-231.72717,74,3.62
4064,-354.296621,99,3.63
4120,24.48978,138,3.68
4348,-94.330272,71,3.89
4372,-456.598537,88,3.91
4424,-110.480744,95,3.94
4520,-395.180756,100,4.04
4656,-49.783577,71,4.16
4700,-111.195826,69,4.19
4772,-122.106535,106,4.25
4924,-139.987704,101,4.39
4968,-230.068289,78,4.43
5112,-177.933468,85,4.55
5128,-191.0573,107,4.56
5396,-101.767069,67,4.81
5492,-165.088082,142,4.87
5508,-314.137527,99,4.89
5568,-150.67131,150,4.95
5728,-129.328993,83,5.09
5880,-134.945303,93,5.21
5932,-187.096404,110,5.27
5956,-394.361797,97,5.29
6136,-332.384583,102,5.44
6240,-65.83209,71,5.52
6268,-143.636026,97,5.54
6296,-217.206205,91,5.59
6516,-276.554239,95,5.77
6580,-122.238095,71,5.82
6704,-111.697223,116,5.94
6724,-114.844693,114,5.96
6848,-178.135296,83,6.06
6896,-118.504224,79,6.10
7064,-281.509208,85,6.26
7108,-106.092524,65,6.29
7164,-257.573977,115,6.35
7244,-114.318345,87,6.41
7456,-85.534134,73,6.60
7524,-177.979505,115,6.67
7548,-26.983522,110,6.69
7716,-143.940058,118,6.84
7760,-117.404891,76,6.87
7848,-85.336694,75,6.95
7888,-156.583479,91,6.99
8116,-310.846608,89,7.19
8160,-75.326775,78,7.22
8260,-218.577762,136,17.31
8448,-235.306966,140,17.47
8448,-182.803274,83,17.47
8500,-110.215349,85,17.51
8696,-196.511676,109,17.69
8744,-149.811277,61,17.73
8760,-101.323559,78,17.74
8884,-196.152302,109,17.83
9064,-88.667977,76,17.99
9084,-87.932468,97,18.02
9084,-113.810718,85,18.02
9248,-82.69039,91,18.15
9388,-124.771324,76,18.25
9392,-90.969844,82,18.25
9412,-57.218107,82,18.27
9688,-111.841122,110,18.52
9700,-100.410414,72,18.53
9776,-176.185972,97,18.59
9812,-210.065208,105,18.61
10104,-276.805092,101,18.89
10112,-64.894149,75,18.90
10212,-154.433665,131,18.97
10228,-254.008433,113,18.99
10396,-133.329268,73,19.15
10492,-96.148466,66,19.23
10588,-76.203199,119,19.30
10652,-173.368008,110,19.36
10796,-112.752966,76,19.50
10880,-138.024334,121,19.57
10984,-197.111296,99,19.65
11064,-50.38827,67,19.73
11100,-305.208117,112,19.77
11180,-126.027878,75,19.84
11464,-192.576504,120,20.08
11476,-126.670231,94,20.10
11644,-208.702262,116,20.27
11664,-369.852169,150,20.28
11932,-211.861775,114,20.50
11952,-222.952998,122,20.52
11980,-88.563744,79,20.54
12128,-241.597719,121,20.68
12276,-132.582214,86,20.81
12280,-94.112601,75,20.81
12360,-113.651988,102,20.89
12416,-80.807076,72,20.94
12636,-111.365368,89,21.12
12676,-9.75274,100,21.15
12728,-123.479122,78,21.22
12796,-128.09856,109,21.27
12932,-116.828773,74,21.38
12952,-77.256406,69,21.40
13148,-94.013198,88,21.58
13180,-91.882961,62,21.60
13184,-272.113118,114,21.61
13308,-139.84017,89,21.71
13512,-150.843659,82,21.90
13588,-91.865876,70,21.97
13620,4.935293,118,22.00
13692,-283.321467,128,22.05
13844,-84.511911,83,22.20
13980,-146.188775,98,22.31
14044,-248.102329,106,22.36
14128,-55.03995,109,22.45
14132,-56.865573,72,22.45
14364,-119.665286,96,22.64
14384,-56.491955,64,22.66
14444,-114.150557,78,22.73
14616,-276.126528,143,22.87
14652,-79.112851,67,22.90
14772,-138.390235,102,23.02
14908,-192.500763,116,23.14
14908,-124.458057,73,23.14
14940,-211.694234,72,23.16
15336,-280.110079,141,23.51
