timestep,reward,ep_len,wall_time
56,14.0,14,0.04
68,17.0,17,0.05
76,19.0,19,0.06
76,19.0,19,0.06
124,17.0,17,0.09
128,15.0,15,0.10
144,17.0,17,0.11
148,18.0,18,0.11
184,15.0,15,0.13
192,16.0,16,0.14
228,11.0,11,0.19
252,15.0,15,0.20
268,10.0,10,0.21
296,38.0,38,0.23
328,15.0,15,0.26
352,51.0,51,0.28
352,25.0,25,0.28
384,14.0,14,0.31
392,10.0,10,0.31
392,24.0,24,0.31
428,9.0,9,0.34
428,19.0,19,0.34
456,16.0,16,0.36
484,14.0,14,0.38
496,17.0,17,0.39
496,28.0,28,0.39
508,13.0,13,0.40
560,16.0,16,0.43
568,21.0,21,0.44
576,20.0,20,0.45
644,17.0,17,0.52
648,35.0,35,0.52
664,24.0,24,0.53
664,26.0,26,0.53
712,12.0,12,0.57
728,20.0,20,0.59
748,21.0,21,0.60
772,32.0,32,0.62
784,9.0,9,0.63
832,15.0,15,0.66
840,14.0,14,0.67
856,32.0,32,0.68
872,40.0,40,0.69
880,12.0,12,0.70
892,13.0,13,0.70
944,13.0,13,0.74
952,20.0,20,0.75
960,26.0,26,0.75
960,20.0,20,0.75
1000,14.0,14,0.79
1000,12.0,12,0.79
1012,13.0,13,0.81
1012,13.0,13,0.81
1064,13.0,13,0.85
1108,27.0,27,0.88
1128,29.0,29,0.90
1144,36.0,36,0.92
1172,11.0,11,0.94
1192,12.0,12,0.95
1196,22.0,22,0.95
1236,43.0,43,0.98
1288,23.0,23,1.02
1292,25.0,25,1.02
1320,21.0,21,1.04
1332,40.0,40,1.05
1408,30.0,30,1.13
1412,30.0,30,1.13
1424,23.0,23,1.14
1448,32.0,32,1.16
1452,11.0,11,1.16
1516,16.0,16,1.20
1532,30.0,30,1.21
1532,27.0,27,1.21
1532,21.0,21,1.21
1564,12.0,12,1.24
1592,15.0,15,1.26
1612,12.0,12,1.28
1632,25.0,25,1.29
1664,18.0,18,1.32
1664,33.0,33,1.32
1680,12.0,12,1.33
1704,23.0,23,1.34
1732,13.0,13,1.36
1740,19.0,19,1.37
1780,29.0,29,1.40
1788,14.0,14,1.40
1852,28.0,28,1.46
1852,18.0,18,1.46
1904,29.0,29,1.51
1944,23.0,23,1.54
1944,60.0,60,1.54
1976,31.0,31,1.57
2004,15.0,15,1.59
2044,17.0,17,1.62
2072,17.0,17,1.64
2104,15.0,15,1.66
2116,53.0,53,1.67
2128,46.0,46,1.68
2160,11.0,11,1.70
2200,10.0,10,1.73
2224,30.0,30,1.75
2232,40.0,40,1.75
2240,10.0,10,1.76
2292,13.0,13,1.82
2312,20.0,20,1.83
2332,10.0,10,1.84
2332,51.0,51,1.84
2384,13.0,13,1.88
2412,20.0,20,1.91
2416,48.0,48,1.91
2456,36.0,36,1.94
2456,18.0,18,1.94
2488,19.0,19,1.96
2528,28.0,28,1.99
2556,17.0,17,2.01
2628,43.0,43,2.06
2692,59.0,59,2.14
2696,42.0,42,2.14
2724,24.0,24,2.16
2732,44.0,44,2.17
2748,13.0,13,2.18
2796,26.0,26,2.23
2808,15.0,15,2.24
2852,32.0,32,2.27
2860,13.0,13,2.27
2864,17.0,17,2.28
2908,44.0,44,2.31
2944,23.0,23,2.33
2948,21.0,21,2.33
2972,28.0,28,2.35
2996,12.0,12,2.37
3020,28.0,28,2.39
3064,17.0,17,2.44
3072,32.0,32,2.45
3100,20.0,20,2.47
3120,14.0,14,2.48
3156,46.0,46,2.52
3176,26.0,26,2.53
3196,24.0,24,2.55
3224,26.0,26,2.57
3276,13.0,13,2.60
3276,30.0,30,2.60
3300,31.0,31,2.62
3336,35.0,35,2.65
3336,15.0,15,2.65
3344,17.0,17,2.65
3344,11.0,11,2.65
3392,14.0,14,2.68
3408,18.0,18,2.72
3416,18.0,18,2.73
3440,24.0,24,2.74
3440,12.0,12,2.74
3496,14.0,14,2.78
3500,23.0,23,2.78
3516,25.0,25,2.80
3576,15.0,15,2.85
3596,39.0,39,2.87
3624,12.0,12,2.89
3660,9.0,9,2.91
3708,52.0,52,2.94
3716,14.0,14,2.95
3720,56.0,56,2.95
3764,12.0,12,2.98
3772,16.0,16,2.99
3788,48.0,48,3.00
3792,18.0,18,3.00
3828,10.0,10,3.05
3836,16.0,16,3.06
3864,25.0,25,3.08
3928,34.0,34,3.12
3932,24.0,24,3.13
3936,18.0,18,3.14
3976,10.0,10,3.17
3980,13.0,13,3.17
4012,9.0,9,3.19
4020,22.0,22,3.20
4028,12.0,12,3.20
4072,13.0,13,3.23
4108,20.0,20,3.26
4108,9.0,9,3.26
4108,70.0,70,3.26
4148,10.0,10,3.29
4168,15.0,15,3.30
4172,40.0,40,3.30
4196,22.0,22,3.32
4224,13.0,13,3.36
4232,9.0,9,3.37
4260,28.0,28,3.39
4276,13.0,13,3.40
4296,16.0,16,3.41
4360,16.0,16,3.47
4380,53.0,53,3.49
4392,29.0,29,3.50
4396,34.0,34,3.50
4460,17.0,17,3.54
4472,28.0,28,3.55
4528,37.0,37,3.59
4536,16.0,16,3.60
4552,39.0,39,3.61
4572,28.0,28,3.62
4600,12.0,12,3.66
4620,23.0,23,3.68
4624,13.0,13,3.68
4628,23.0,23,3.68
4660,10.0,10,3.71
4664,10.0,10,3.71
4720,30.0,30,3.75
4740,20.0,20,3.78
4752,31.0,31,3.79
4756,23.0,23,3.79
4764,11.0,11,3.80
4792,10.0,10,3.82
4792,9.0,9,3.82
4808,17.0,17,3.83
4876,21.0,21,3.87
4892,32.0,32,3.89
4908,25.0,25,3.90
4972,24.0,24,3.94
4984,19.0,19,3.95
5016,11.0,11,3.99
5024,33.0,33,4.00
5076,13.0,13,4.04
5080,16.0,16,4.04
5096,28.0,28,4.05
5140,87.0,87,4.09
5152,18.0,18,4.10
5168,23.0,23,4.11
5172,19.0,19,4.12
5188,12.0,12,4.13
5220,13.0,13,4.15
5256,17.0,17,4.17
5272,30.0,30,4.18
5276,14.0,14,4.19
5312,10.0,10,4.21
5320,16.0,16,4.22
5360,21.0,21,4.24
5396,56.0,56,4.28
5448,34.0,34,4.33
5468,18.0,18,4.34
5500,45.0,45,4.37
5516,12.0,12,4.38
5528,20.0,20,4.39
5548,47.0,47,4.41
5580,16.0,16,4.43
5584,21.0,21,4.44
5596,17.0,17,4.45
5636,22.0,22,4.47
5680,11.0,11,4.50
5708,28.0,28,4.52
5748,42.0,42,4.55
5760,20.0,20,4.56
5760,13.0,13,4.56
5772,47.0,47,4.57
5800,13.0,13,4.60
5820,15.0,15,4.63
5828,14.0,14,4.63
5828,17.0,17,4.63
5836,9.0,9,4.64
5880,15.0,15,4.67
5912,21.0,21,4.69
5912,21.0,21,4.69
5940,26.0,26,4.72
5964,13.0,13,4.74
5972,15.0,15,4.74
5984,26.0,26,4.75
6064,25.0,25,4.81
6064,20.0,20,4.81
6084,28.0,28,4.82
6104,10.0,10,4.84
6116,44.0,44,4.85
6160,19.0,19,4.88
6168,16.0,16,4.88
6184,30.0,30,4.89
6220,13.0,13,4.94
6260,19.0,19,4.97
6268,27.0,27,4.98
6324,16.0,16,5.02
6344,19.0,19,5.04
6380,40.0,40,5.07
6388,68.0,68,5.07
6396,18.0,18,5.08
6444,14.0,14,5.11
6444,16.0,16,5.11
6448,26.0,26,5.11
6472,19.0,19,5.13
6492,12.0,12,5.15
6496,13.0,13,5.15
6500,13.0,13,5.15
6520,12.0,12,5.17
6548,12.0,12,5.18
6552,15.0,15,5.19
6588,17.0,17,5.22
6596,12.0,12,5.24
6616,16.0,16,5.26
6636,35.0,35,5.27
6688,23.0,23,5.31
6692,26.0,26,5.31
6692,19.0,19,5.31
6748,28.0,28,5.36
6752,15.0,15,5.37
6756,17.0,17,5.37
6840,37.0,37,5.43
6868,28.0,28,5.44
6872,30.0,30,5.45
6904,16.0,16,5.47
6924,44.0,44,5.48
6960,22.0,22,5.51
6992,22.0,22,5.55
6996,18.0,18,5.56
7008,35.0,35,5.57
7032,18.0,18,5.58
7036,11.0,11,5.58
7064,14.0,14,5.60
7068,18.0,18,5.61
7080,11.0,11,5.62
7124,14.0,14,5.65
7144,16.0,16,5.67
7184,30.0,30,5.70
7232,50.0,50,5.73
7276,23.0,23,5.76
7292,37.0,37,5.77
7340,16.0,16,5.81
7364,18.0,18,5.82
7368,34.0,34,5.82
7380,64.0,64,5.83
7412,11.0,11,5.88
7416,13.0,13,5.88
7428,22.0,22,5.89
7440,15.0,15,5.90
7456,10.0,10,5.91
7512,14.0,14,5.96
7512,21.0,21,5.96
7520,27.0,27,5.97
7528,22.0,22,5.98
7576,14.0,14,6.01
7576,16.0,16,6.01
7612,9.0,9,6.03
7652,19.0,19,6.06
7668,35.0,35,6.07
7680,17.0,17,6.08
7720,13.0,13,6.11
7740,15.0,15,6.12
7756,26.0,26,6.14
7760,62.0,62,6.14
7788,17.0,17,6.18
7804,16.0,16,6.20
7812,14.0,14,6.20
7848,11.0,11,6.23
7904,14.0,14,6.27
7916,32.0,32,6.28
7968,52.0,52,6.32
7972,17.0,17,6.32
7992,45.0,45,6.34
8028,15.0,15,6.36
8028,9.0,9,6.36
8064,23.0,23,6.39
8068,38.0,38,6.39
8084,14.0,14,6.40
8092,16.0,16,6.41
8104,10.0,10,6.42
8144,13.0,13,6.44
8144,15.0,15,6.44
8152,12.0,12,6.45
8160,23.0,23,6.45
8188,11.0,11,6.50
8196,11.0,11,16.27
8212,13.0,13,16.28
8224,20.0,20,16.29
8252,10.0,10,16.33
8260,18.0,18,16.34
8320,15.0,15,16.39
8340,22.0,22,16.40
8384,16.0,16,16.43
8388,41.0,41,16.44
8452,17.0,17,16.50
8500,76.0,76,16.58
8560,15.0,15,16.63
8568,29.0,29,16.63
8584,61.0,61,16.65
8632,16.0,16,16.71
8656,18.0,18,16.74
8660,68.0,68,16.74
8700,17.0,17,16.78
8732,43.0,43,16.81
8752,13.0,13,16.82
8824,18.0,18,16.89
8852,48.0,48,16.94
8868,53.0,53,16.95
8912,45.0,45,17.00
8964,24.0,24,17.06
8996,36.0,36,17.09
9072,19.0,19,17.16
9092,67.0,67,17.18
9112,50.0,50,17.19
9136,16.0,16,17.23
9160,49.0,49,17.27
9180,17.0,17,17.28
9208,12.0,12,17.31
9212,30.0,30,17.32
9264,21.0,21,17.37
9300,41.0,41,17.40
9320,14.0,14,17.42
9332,30.0,30,17.43
9344,34.0,34,17.44
9376,11.0,11,17.46
9384,21.0,21,17.47
9388,11.0,11,17.47
9388,17.0,17,17.47
9504,32.0,32,17.58
9520,34.0,34,17.59
9548,40.0,40,17.61
9596,23.0,23,17.64
9616,57.0,57,17.67
9688,42.0,42,17.72
9720,43.0,43,17.74
9732,34.0,34,17.75
9768,20.0,20,17.78
9800,20.0,20,17.80
9832,16.0,16,17.82
9856,31.0,31,17.84
9860,61.0,61,17.84
9912,13.0,13,17.90
9916,29.0,29,17.90
9924,23.0,23,17.91
9968,28.0,28,17.94
10028,15.0,15,18.00
10060,37.0,37,18.02
10096,45.0,45,18.04
10132,18.0,18,18.07
10180,38.0,38,18.10
10196,68.0,68,18.11
10224,23.0,23,18.14
10240,36.0,36,18.15
10256,19.0,19,18.16
10312,18.0,18,18.22
10328,33.0,33,18.24
10400,36.0,36,18.29
10408,24.0,24,18.30
10424,50.0,50,18.32
10464,14.0,14,18.35
10480,38.0,38,18.36
10496,24.0,24,18.37
10504,10.0,10,18.37
10592,28.0,28,18.43
10644,55.0,55,18.47
10660,39.0,39,18.48
10796,34.0,34,18.61
10808,41.0,41,18.62
10820,81.0,81,18.63
10840,62.0,62,18.64
10884,11.0,11,18.67
10964,20.0,20,18.72
10972,38.0,38,18.73
11024,54.0,54,18.77
11032,15.0,15,18.77
11032,59.0,59,18.77
11068,26.0,26,18.80
11128,24.0,24,18.87
11144,28.0,28,18.88
11148,31.0,31,18.88
11200,14.0,14,18.92
11264,29.0,29,18.97
11320,30.0,30,19.01
11336,18.0,18,19.02
11396,67.0,67,19.06
11428,90.0,90,19.09
11488,42.0,42,19.15
11516,30.0,30,19.17
11528,48.0,48,19.18
11560,18.0,18,19.20
11600,18.0,18,19.24
11600,21.0,21,19.24
11624,16.0,16,19.26
11664,59.0,59,19.29
11712,22.0,22,19.32
11792,20.0,20,19.37
11804,51.0,51,19.38
11808,36.0,36,19.38
11856,16.0,16,19.42
11860,14.0,14,19.43
11872,68.0,68,19.45
11872,16.0,16,19.45
11936,20.0,20,19.51
11960,25.0,25,19.52
11984,28.0,28,19.54
12000,16.0,16,19.55
12020,15.0,15,19.57
12060,19.0,19,19.60
12100,57.0,57,19.64
12108,22.0,22,19.65
12136,34.0,34,19.67
12156,12.0,12,19.70
12184,12.0,12,19.72
12192,33.0,33,19.73
12292,25.0,25,19.80
12300,36.0,36,19.80
12316,54.0,54,19.81
12320,34.0,34,19.82
12388,17.0,17,19.89
12416,31.0,31,19.91
12420,26.0,26,19.91
12456,39.0,39,19.94
12472,13.0,13,19.95
12480,16.0,16,19.95
12504,29.0,29,19.97
12520,10.0,10,19.98
12576,30.0,30,20.04
12592,30.0,30,20.05
12608,22.0,22,20.06
12648,18.0,18,20.09
12664,18.0,18,20.10
12724,19.0,19,20.14
12732,17.0,17,20.14
12788,16.0,16,20.18
12808,50.0,50,20.20
12848,29.0,29,20.25
12848,86.0,86,20.25
12900,13.0,13,20.28
12948,35.0,35,20.34
12980,48.0,48,20.36
12988,22.0,22,20.37
12996,12.0,12,20.37
13060,20.0,20,20.41
13084,24.0,24,20.43
13116,67.0,67,20.45
13140,20.0,20,20.47
13148,38.0,38,20.48
13184,17.0,17,20.50
13212,16.0,16,20.54
13212,18.0,18,20.54
13256,18.0,18,20.57
13348,34.0,34,20.65
13348,66.0,66,20.65
13360,37.0,37,20.66
13408,15.0,15,20.69
13436,19.0,19,20.71
13468,30.0,30,20.73
13472,16.0,16,20.73
13496,15.0,15,20.75
13504,62.0,62,20.76
13528,14.0,14,20.77
13544,19.0,19,20.79
13564,15.0,15,20.80
13592,24.0,24,20.82
13636,27.0,27,20.87
13640,12.0,12,20.88
13672,27.0,27,20.90
13736,24.0,24,20.95
13788,38.0,38,20.99
13808,18.0,18,21.01
13872,21.0,21,21.05
13892,21.0,21,21.06
13900,57.0,57,21.07
13996,26.0,26,21.14
14024,38.0,38,21.18
14080,45.0,45,21.22
14084,15.0,15,21.22
14124,145.0,145,21.25
14160,20.0,20,21.29
14172,22.0,22,21.30
14196,50.0,50,21.31
14212,13.0,13,21.33
14216,11.0,11,21.33
14252,14.0,14,21.35
14284,40.0,40,21.37
14288,18.0,18,21.38
14320,27.0,27,21.40
14328,11.0,11,21.41
14340,22.0,22,21.41
14360,18.0,18,21.43
14400,20.0,20,21.46
14452,31.0,31,21.52
14524,46.0,46,21.57
14528,42.0,42,21.58
14604,51.0,51,21.63
14616,22.0,22,21.64
14660,34.0,34,21.67
14676,56.0,56,21.68
14716,25.0,25,21.71
14752,19.0,19,21.74
14784,31.0,31,21.77
14844,32.0,32,21.82
14856,18.0,18,21.83
14868,29.0,29,21.84
14892,12.0,12,21.86
14980,28.0,28,21.93
15000,99.0,99,21.94
15020,41.0,41,21.96
15028,12.0,12,21.96
15048,39.0,39,21.98
15104,21.0,21,22.02
15116,29.0,29,22.02
15216,47.0,47,22.12
15224,30.0,30,22.13
15268,38.0,38,22.15
15272,56.0,56,22.16
15360,36.0,36,22.23
15392,42.0,42,22.26
15436,19.0,19,22.29
15440,42.0,42,22.29
15444,44.0,44,22.29
15460,17.0,17,22.30
15488,11.0,11,22.32
15544,21.0,21,22.36
15636,37.0,37,22.45
15656,54.0,54,22.46
15684,35.0,35,22.48
15756,30.0,30,22.54
15772,29.0,29,22.55
15804,30.0,30,22.58
15892,30.0,30,22.64
15924,30.0,30,22.66
15924,42.0,42,22.66
15932,10.0,10,22.67
15960,131.0,131,22.68
15968,11.0,11,22.69
16004,18.0,18,22.74
16040,20.0,20,22.77
16120,49.0,49,22.83
16148,27.0,27,22.86
16180,53.0,53,22.88
16236,58.0,58,22.92
16260,35.0,35,22.93
16268,30.0,30,22.94
16288,13.0,13,22.95
16300,30.0,30,22.96
16388,22.0,22,32.80
16456,47.0,47,32.85
16496,52.0,52,32.90
16520,65.0,65,32.92
16528,18.0,18,32.93
16852,116.0,116,33.21
16916,105.0,105,33.25
16932,103.0,103,33.26
17068,38.0,38,33.38
