timestep,reward,ep_len,wall_time
40,10.0,10,0.14
44,11.0,11,0.14
60,15.0,15,0.15
116,18.0,18,0.19
128,17.0,17,0.20
140,35.0,35,0.21
144,26.0,26,0.21
168,13.0,13,0.22
192,13.0,13,0.24
252,15.0,15,0.27
268,25.0,25,0.29
296,38.0,38,0.30
324,18.0,18,0.32
328,15.0,15,0.32
344,54.0,54,0.33
404,20.0,20,0.37
408,20.0,20,0.38
440,36.0,36,0.40
440,24.0,24,0.40
452,12.0,12,0.40
484,19.0,19,0.42
512,18.0,18,0.44
524,18.0,18,0.45
544,26.0,26,0.46
572,15.0,15,0.48
584,15.0,15,0.49
628,11.0,11,0.51
632,15.0,15,0.51
644,25.0,25,0.52
656,43.0,43,0.53
728,18.0,18,0.58
728,24.0,24,0.58
740,24.0,24,0.58
768,10.0,10,0.60
792,16.0,16,0.61
808,17.0,17,0.62
816,12.0,12,0.62
820,48.0,48,0.63
844,13.0,13,0.64
880,16.0,16,0.66
904,24.0,24,0.67
944,25.0,25,0.70
960,14.0,14,0.71
988,27.0,27,0.72
996,44.0,44,0.73
1000,10.0,10,0.73
1056,17.0,17,0.77
1056,15.0,15,0.77
1088,36.0,36,0.79
1132,33.0,33,0.81
1136,12.0,12,0.81
1156,25.0,25,0.82
1176,30.0,30,0.84
1180,11.0,11,0.84
1204,18.0,18,0.85
1264,15.0,15,0.90
1284,26.0,26,0.91
1288,33.0,33,0.91
1352,44.0,44,0.96
1372,27.0,27,0.97
1376,23.0,23,0.97
1392,26.0,26,0.99
1424,13.0,13,1.01
1424,12.0,12,1.01
1444,13.0,13,1.02
1496,18.0,18,1.05
1516,23.0,23,1.06
1548,26.0,26,1.08
1548,49.0,49,1.08
1576,15.0,15,1.10
1600,13.0,13,1.11
1620,18.0,18,1.12
1644,17.0,17,1.14
1656,14.0,14,1.14
1672,13.0,13,1.16
1696,50.0,50,1.17
1712,10.0,10,1.19
1716,15.0,15,1.20
1760,16.0,16,1.23
1792,19.0,19,1.25
1808,24.0,24,1.26
1816,43.0,43,1.26
1832,18.0,18,1.27
1848,14.0,14,1.28
1852,11.0,11,1.28
1856,10.0,10,1.29
1872,10.0,10,1.30
1888,8.0,8,1.31
1912,16.0,16,1.33
1928,14.0,14,1.34
1960,18.0,18,1.36
1960,12.0,12,1.36
1980,32.0,32,1.38
2012,13.0,13,1.40
2068,14.0,14,1.44
2076,24.0,24,1.45
2084,31.0,31,1.45
2100,43.0,43,1.46
2152,19.0,19,1.50
2160,23.0,23,1.51
2184,21.0,21,1.52
2220,34.0,34,1.55
2232,18.0,18,1.56
2264,28.0,28,1.58
2264,11.0,11,1.58
2268,21.0,21,1.58
2288,14.0,14,1.59
2312,12.0,12,1.61
2384,24.0,24,1.66
2392,20.0,20,1.66
2400,33.0,33,1.67
2424,40.0,40,1.68
2436,13.0,13,1.69
2444,13.0,13,1.69
2452,13.0,13,1.70
2504,17.0,17,1.73
2504,20.0,20,1.73
2532,22.0,22,1.75
2540,9.0,9,1.76
2544,23.0,23,1.76
2572,17.0,17,1.78
2600,17.0,17,1.79
2608,16.0,16,1.80
2616,19.0,19,1.80
2632,15.0,15,1.82
2660,15.0,15,1.84
2664,14.0,14,1.84
2684,17.0,17,1.85
2732,18.0,18,1.88
2748,16.0,16,1.89
2792,32.0,32,1.92
2800,17.0,17,1.92
2820,18.0,18,1.94
2840,52.0,52,1.95
2864,18.0,18,1.97
2872,13.0,13,1.98
2888,22.0,22,1.99
2920,12.0,12,2.01
2928,16.0,16,2.01
2964,19.0,19,2.03
3008,20.0,20,2.06
3048,32.0,32,2.08
3052,22.0,22,2.08
3052,53.0,53,2.08
3064,14.0,14,2.09
3096,12.0,12,2.11
3116,16.0,16,2.12
3132,17.0,17,2.13
3168,13.0,13,2.16
3176,20.0,20,2.16
3224,43.0,43,2.19
3228,24.0,24,2.19
3232,14.0,14,2.19
3256,8.0,8,2.21
3276,11.0,11,2.22
3308,35.0,35,2.24
3344,22.0,22,2.26
3344,17.0,17,2.26
3380,9.0,9,2.29
3388,40.0,40,2.29
3400,14.0,14,2.30
3444,14.0,14,2.33
3456,19.0,19,2.33
3500,48.0,48,2.36
3500,11.0,11,2.36
3520,30.0,30,2.37
3544,11.0,11,2.39
3544,11.0,11,2.39
3552,27.0,27,2.39
3608,22.0,22,2.43
3612,15.0,15,2.43
3616,18.0,18,2.43
3660,29.0,29,2.46
3684,17.0,17,2.47
3712,26.0,26,2.49
3720,27.0,27,2.50
3736,13.0,13,2.51
3760,10.0,10,2.52
3772,28.0,28,2.53
3788,13.0,13,2.54
3792,20.0,20,2.54
3824,16.0,16,2.56
3844,14.0,14,2.57
3880,22.0,22,2.59
3892,30.0,30,2.60
3904,15.0,15,2.61
3928,12.0,12,2.62
3956,33.0,33,2.64
3984,14.0,14,2.66
3992,25.0,25,2.67
4020,16.0,16,2.69
4036,11.0,11,2.70
4040,34.0,34,2.70
4060,19.0,19,2.71
4072,8.0,8,2.72
4084,12.0,12,2.73
4112,13.0,13,2.74
4116,11.0,11,2.74
4128,27.0,27,2.75
4156,11.0,11,2.77
4176,12.0,12,2.78
4208,31.0,31,2.80
4216,25.0,25,2.80
4256,20.0,20,2.83
4300,21.0,21,2.85
4308,38.0,38,2.86
4316,15.0,15,2.86
4348,12.0,12,2.88
4368,15.0,15,2.89
4384,17.0,17,2.90
4400,48.0,48,2.91
4412,11.0,11,2.92
4428,20.0,20,2.93
4440,14.0,14,2.94
4496,21.0,21,2.97
4504,16.0,16,2.97
